ENTIDAD,OPERACION.O.RAMO,PRIMA.EMITIDA,SINIESTROS.PAGADOS,z1,z2,z3,z4,z5,z6,z7
Aguascalientes,ACC,133.208768,31.163337,1,0,0,0,0,0,0
Baja California,ACC,53.11217,31.784503,1,0,0,0,0,0,0
Baja California Sur,ACC,10.65914,0.714426,1,0,0,0,0,0,0
Campeche,ACC,13.813635,3.763166,1,0,0,0,0,0,0
Coahuila,ACC,41.667298,18.920599,1,0,0,0,0,0,0
Colima,ACC,7.205536,3.426178,1,0,0,0,0,0,0
Chiapas,ACC,19.03,37.151488,1,0,0,0,0,0,0
Chihuahua,ACC,45.624605,29.96524,1,0,0,0,0,0,0
Distrito Federal,ACC,2483.851143,341.221663,1,0,0,0,0,0,0
Durango,ACC,11.092312,7.553901,1,0,0,0,0,0,0
Extranjero,ACC,0.006,30.449498,1,0,0,0,0,0,0
Guanajuato,ACC,68.586747,23.861381,1,0,0,0,0,0,0
Guerrero,ACC,23.80182,10.555455,1,0,0,0,0,0,0
Hidalgo,ACC,19.604695,7.620062,1,0,0,0,0,0,0
Jalisco,ACC,112.365234,50.252564,1,0,0,0,0,0,0
"Mexico, Estado De",ACC,124.033013,63.669805,1,0,0,0,0,0,0
Michoacan,ACC,28.718598,18.874708,1,0,0,0,0,0,0
Morelos,ACC,21.307702,9.110237,1,0,0,0,0,0,0
Nayarit,ACC,8.920636,5.715195,1,0,0,0,0,0,0
Nuevo Leon,ACC,153.16323,55.594697,1,0,0,0,0,0,0
Oaxaca,ACC,20.304225,11.344592,1,0,0,0,0,0,0
Puebla,ACC,60.719974,23.379492,1,0,0,0,0,0,0
Queretaro,ACC,21.50082,7.865597,1,0,0,0,0,0,0
Quintana Roo,ACC,38.248974,9.56922,1,0,0,0,0,0,0
San Luis Potosi,ACC,21.945336,9.330708,1,0,0,0,0,0,0
Sinaloa,ACC,28.493335,33.377938,1,0,0,0,0,0,0
Sonora,ACC,80.255784,22.503821,1,0,0,0,0,0,0
Tabasco,ACC,22.576215,8.32052,1,0,0,0,0,0,0
Tamaulipas,ACC,40.647981,11.468267,1,0,0,0,0,0,0
Tlaxcala,ACC,8.516947,1.492727,1,0,0,0,0,0,0
Veracruz,ACC,67.534504,20.736141,1,0,0,0,0,0,0
Yucatan,ACC,19.498504,6.284233,1,0,0,0,0,0,0
Zacatecas,ACC,8.589097,3.698962,1,0,0,0,0,0,0
Aguascalientes,AGR,11.627328,2.645168,0,1,0,0,0,0,0
Baja California,AGR,39.561531,20.057606,0,1,0,0,0,0,0
Baja California Sur,AGR,1.639577,0.41424,0,1,0,0,0,0,0
Campeche,AGR,25.723379,12.713575,0,1,0,0,0,0,0
Coahuila,AGR,31.402741,22.567324,0,1,0,0,0,0,0
Colima,AGR,11.578127,7.907705,0,1,0,0,0,0,0
Chiapas,AGR,28.200282,12.117065,0,1,0,0,0,0,0
Chihuahua,AGR,98.343967,18.853023,0,1,0,0,0,0,0
