,FH_REF,TP_SEGMENTO_FINAL2,target,ID,TO_PROM_TO_CARGOS_3M,NU_VINC_COGNODATA,TO_NECESIDAD_FINAN_CAP_3M,IM_PROM_GASTOS_3M,IM_SUM_SDO_CORTE_1M
0,2016-08-01,ADULTO EN PLENITUD,75,7759,2.8800962323323502,2.117025389869829,1757.181413346187,125151.95028420036,1750688.8346570397
1,2016-08-01,ADULTOS INDEPENDIENTES,61,5192,5.024332306111967,2.2232280431432976,513.8463228507275,236258.77650848462,1839794.2009456265
2,2016-08-01,DIVORCIADO,38,2136,7.366729088639206,3.0594569288389515,864.7220340757009,344461.95766907727,2495577.6797488225
3,2016-08-01,HOGARES CON HIJOS,150,6862,8.350553774409795,4.04707082483241,15662.513115382983,740700.993899942,2414295.237408113
6,2016-08-01,JOVEN PROFESIONAL,56,3516,9.013936291240057,2.4880546075085324,257377.45425746645,265983.52349884,1668409.3392130258
7,2016-08-01,JOVEN TRABAJADOR,31,4897,6.5833843849976175,1.5966918521543803,281.04225168857266,30192.73135553054,828293.373493976
8,2016-08-01,PAREJA JOVEN,47,3693,6.549643469627208,2.727321960465746,6991.6175967610525,187691.02716158042,1376142.6739336492
9,2016-08-01,PAREJAS ADULTAS,80,3213,7.10929557007987,2.7591036414565826,593.9181478570948,211703.93359114334,1529768.42147806
10,2016-08-01,PAREJAS SENIOR,80,4356,5.585475971839606,2.7435720844811753,608.9595205935066,262490.4927179292,1477528.4983079527
13,2016-09-01,ADULTO EN PLENITUD,60,7914,2.75640215651587,2.042582764720748,985.392682627852,122701.26664507877,1812750.2217359592
14,2016-09-01,ADULTOS INDEPENDIENTES,53,5202,5.098968345508138,2.2389465590157633,1430.7666773230626,239345.8934231665,1811601.765258216
15,2016-09-01,DIVORCIADO,33,2167,7.3800184586986735,2.9570835256114445,-1367.3994425594753,369226.64801794244,2814081.4340836015
16,2016-09-01,HOGARES CON HIJOS,128,6790,8.270667648502718,4.0240058910162,30045.457144590702,718833.3784138024,2349747.1525096525
19,2016-09-01,JOVEN PROFESIONAL,50,3598,9.080924587733906,2.4758198999444136,250869.45500285245,272770.7111905632,1693764.697889182
20,2016-09-01,JOVEN TRABAJADOR,26,4997,6.585751450870515,1.6149689813888333,386.3597151898137,31035.705714476855,900581.0971659919
21,2016-09-01,PAREJA JOVEN,44,3706,6.589764346105407,2.681867242309768,8246.775468814272,192118.48892046761,1363868.7980861245
22,2016-09-01,PAREJAS ADULTAS,53,3256,7.178081490581493,2.7490786240786242,3513.8004781647164,213543.6953627965,1584004.750569476
23,2016-09-01,PAREJAS SENIOR,64,4351,5.655136750172374,2.752011031946679,884.2167783871045,255619.6544832271,1587744.1766211605
26,2016-10-01,ADULTO EN PLENITUD,56,7751,2.8888100460155623,2.088891755902464,827.694555672384,125939.11506683742,1886343.869117647
27,2016-10-01,ADULTOS INDEPENDIENTES,53,5357,5.2397486155186375,2.240246406570842,3179.6297899497376,205071.88649298158,1817769.4742589705
28,2016-10-01,DIVORCIADO,15,2017,7.386217154189395,3.054040654437283,3619.076591991549,455379.4911390958,2560514.0223285486
29,2016-10-01,HOGARES CON HIJOS,90,6778,8.33923477918756,4.0163765122455,28779.440267690952,726675.8008129344,2462414.1555244755
32,2016-10-01,JOVEN PROFESIONAL,37,3628,9.283902976846754,2.4980705622932744,213893.63512478367,298265.06864346564,1721466.7201540438
33,2016-10-01,JOVEN TRABAJADOR,21,5105,6.812340842311474,1.611949069539667,162.4373903238997,31241.836308205566,975248.6666666666
34,2016-10-01,PAREJA JOVEN,29,3764,6.739284449167533,2.701912858660999,15684.45288123152,202627.27591438656,1417827.4324065195
35,2016-10-01,PAREJAS ADULTAS,37,3294,7.3040882412466885,2.7680631451123254,1489.05297549169,208688.9013527989,1667804.9828571428
36,2016-10-01,PAREJAS SENIOR,61,4387,5.820226426563329,2.7893777068611807,882.1790062989621,255305.36720480147,1660002.7569153395
39,2016-11-01,ADULTO EN PLENITUD,57,7729,2.871565963686547,2.075300815111916,1011.1033583715623,129627.06396884182,1968564.7874538745
40,2016-11-01,ADULTOS INDEPENDIENTES,36,4874,5.134386540828873,2.281903980303652,17865.375875347465,239956.63704732186,1949835.6949429037
41,2016-11-01,DIVORCIADO,27,2301,7.868970013037827,3.0691003911342896,2178.824461088876,407794.39853182365,2953707.711815562
42,2016-11-01,HOGARES CON HIJOS,91,6715,8.130826507818359,4.0069992553983615,19754.75861192107,694322.2738679046,2553679.361182154
45,2016-11-01,JOVEN PROFESIONAL,28,3668,9.272764449291166,2.515267175572519,365115.250283007,322337.3446439564,1849773.3070175438
46,2016-11-01,JOVEN TRABAJADOR,16,5127,6.745920291268441,1.6216110786034719,3490.641029483994,31366.400093969045,1059280.6641221375
47,2016-11-01,PAREJA JOVEN,29,3863,6.618603848477003,2.65881439295884,24523.723299288333,208142.7665734906,1456023.833976834
48,2016-11-01,PAREJAS ADULTAS,38,3283,7.226875824956835,2.795918367346939,1230.2034195112606,238039.60885769533,1784229.4315304947
49,2016-11-01,PAREJAS SENIOR,47,4353,5.822268167547279,2.8256374913852516,955.7444943964254,256275.09679346118,1700233.0759493671
52,2016-12-01,ADULTO EN PLENITUD,56,7473,3.0609304607698924,2.1152147731834603,1176.016255427769,141481.96289706722,1932208.2293373046
53,2016-12-01,ADULTOS INDEPENDIENTES,54,5079,5.839863490188336,2.3406182319354203,7251.459913192425,245963.55429712616,2039332.1773818745
54,2016-12-01,DIVORCIADO,23,1939,8.098676293622153,3.069623517276947,1291.8084671519848,452315.3588592868,2603540.0955518945
55,2016-12-01,HOGARES CON HIJOS,90,6731,8.623409102164146,3.9946516119447333,12084.238546529801,730531.8537506125,2508567.1886954037
58,2016-12-01,JOVEN PROFESIONAL,33,3658,9.762848551120843,2.5338983050847457,843804.7325810845,362399.02955384954,1925819.1082089553
