,FH_REF,TP_SEGMENTO_FINAL2,target,ID,TO_PROM_TO_CARGOS_3M,NU_VINC_COGNODATA,TO_NECESIDAD_FINAN_CAP_3M,IM_PROM_GASTOS_3M,IM_SUM_SDO_CORTE_1M
0,2016-08-01,ADULTO EN PLENITUD,75,7759,2.8800962323323502,2.117025389869829,1.826328197138344,1333.3333333333333,373953.0
1,2016-08-01,ADULTOS INDEPENDIENTES,61,5192,5.024332306111967,2.2232280431432976,1.188493963701914,2840.833333333333,350182.0
2,2016-08-01,DIVORCIADO,38,2136,7.366729088639206,3.0594569288389515,5.324997667847859,6676.485000000001,840010.0
3,2016-08-01,HOGARES CON HIJOS,150,6862,8.350553774409795,4.04707082483241,2.0808658913893208,23296.71214285714,802488.0
6,2016-08-01,JOVEN PROFESIONAL,56,3516,9.013936291240057,2.4880546075085324,6.19560392079563,6232.921666666665,787234.0
7,2016-08-01,JOVEN TRABAJADOR,31,4897,6.5833843849976175,1.5966918521543803,6.658782335286553,3373.083333333333,411319.0
8,2016-08-01,PAREJA JOVEN,47,3693,6.549643469627208,2.727321960465746,4.059219232357209,4382.65,568979.0
9,2016-08-01,PAREJAS ADULTAS,80,3213,7.10929557007987,2.7591036414565826,3.9987689283868586,5818.98,422172.5
10,2016-08-01,PAREJAS SENIOR,80,4356,5.585475971839606,2.7435720844811753,1.5534856142223938,4666.666666666667,229650.5
13,2016-09-01,ADULTO EN PLENITUD,60,7914,2.75640215651587,2.042582764720748,1.7399625908042975,1000.0,405917.0
14,2016-09-01,ADULTOS INDEPENDIENTES,53,5202,5.098968345508138,2.2389465590157633,0.9335359318902152,2833.266666666667,342324.0
15,2016-09-01,DIVORCIADO,33,2167,7.3800184586986735,2.9570835256114445,4.915234849460943,6386.862351350195,864831.0
16,2016-09-01,HOGARES CON HIJOS,128,6790,8.270667648502718,4.0240058910162,2.061717412193217,23207.266666666663,801315.0
19,2016-09-01,JOVEN PROFESIONAL,50,3598,9.080924587733906,2.4758198999444136,6.163379771142679,6129.828907775232,814426.5
20,2016-09-01,JOVEN TRABAJADOR,26,4997,6.585751450870515,1.6149689813888333,6.769934670278393,3365.096666666667,461574.0
21,2016-09-01,PAREJA JOVEN,44,3706,6.589764346105407,2.681867242309768,4.259437871330032,4616.386666666667,568310.0
22,2016-09-01,PAREJAS ADULTAS,53,3256,7.178081490581493,2.7490786240786242,4.239634894395111,6024.268333333333,448943.5
23,2016-09-01,PAREJAS SENIOR,64,4351,5.655136750172374,2.752011031946679,1.5875128752207182,4675.633333333332,248974.0
26,2016-10-01,ADULTO EN PLENITUD,56,7751,2.8888100460155623,2.088891755902464,1.7293840952520942,1062.18,405133.5
27,2016-10-01,ADULTOS INDEPENDIENTES,53,5357,5.2397486155186375,2.240246406570842,1.1201687981784492,3122.3433333333332,344923.5
28,2016-10-01,DIVORCIADO,15,2017,7.386217154189395,3.054040654437283,4.674304422476031,6497.656666666668,972312.0
29,2016-10-01,HOGARES CON HIJOS,90,6778,8.33923477918756,4.0163765122455,2.0135220521445456,21565.433333333334,764075.0
32,2016-10-01,JOVEN PROFESIONAL,37,3628,9.283902976846754,2.4980705622932744,6.604860592833923,6201.003333333333,840882.0
33,2016-10-01,JOVEN TRABAJADOR,21,5105,6.812340842311474,1.611949069539667,7.016498404673213,3475.0,448929.0
34,2016-10-01,PAREJA JOVEN,29,3764,6.739284449167533,2.701912858660999,4.867281249944257,4514.486666666667,585990.0
35,2016-10-01,PAREJAS ADULTAS,37,3294,7.3040882412466885,2.7680631451123254,4.522540622482884,5843.789999999999,502881.0
36,2016-10-01,PAREJAS SENIOR,61,4387,5.820226426563329,2.7893777068611807,1.5957185643442826,4941.9000000000015,282232.0
39,2016-11-01,ADULTO EN PLENITUD,57,7729,2.871565963686547,2.075300815111916,1.368738023542294,941.24,410315.0
40,2016-11-01,ADULTOS INDEPENDIENTES,36,4874,5.134386540828873,2.281903980303652,0.9120650870537763,3151.0183333333334,421766.5
41,2016-11-01,DIVORCIADO,27,2301,7.868970013037827,3.0691003911342896,6.026003017625678,7659.3602994709045,1175736.0
42,2016-11-01,HOGARES CON HIJOS,91,6715,8.130826507818359,4.0069992553983615,2.093283512954328,21259.68,821825.0
45,2016-11-01,JOVEN PROFESIONAL,28,3668,9.272764449291166,2.515267175572519,6.6218098427593155,6386.368333333334,970654.0
46,2016-11-01,JOVEN TRABAJADOR,16,5127,6.745920291268441,1.6216110786034719,6.7642890883325455,3451.25,462661.0
47,2016-11-01,PAREJA JOVEN,29,3863,6.618603848477003,2.65881439295884,4.4006417448278965,4376.446666666666,611728.5
48,2016-11-01,PAREJAS ADULTAS,38,3283,7.226875824956835,2.795918367346939,4.767019113631786,5592.733333333334,526254.0
49,2016-11-01,PAREJAS SENIOR,47,4353,5.822268167547279,2.8256374913852516,1.625410278464886,4942.922240334516,363929.0
52,2016-12-01,ADULTO EN PLENITUD,56,7473,3.0609304607698924,2.1152147731834603,1.5505405748276786,1268.7038989898786,417014.0
53,2016-12-01,ADULTOS INDEPENDIENTES,54,5079,5.839863490188336,2.3406182319354203,1.6379060903790683,4292.383333333333,464681.0
54,2016-12-01,DIVORCIADO,23,1939,8.098676293622153,3.069623517276947,4.834927773338273,8714.140000000001,1001136.0
55,2016-12-01,HOGARES CON HIJOS,90,6731,8.623409102164146,3.9946516119447333,2.2016748734275744,24995.553069223984,811847.0
58,2016-12-01,JOVEN PROFESIONAL,33,3658,9.762848551120843,2.5338983050847457,5.915197201633191,7599.596666666665,950602.0
59,2016-12-01,JOVEN TRABAJADOR,15,5146,7.268946754760949,1.6323357947920716,6.230709194541838,4036.4399999999996,571792.0
60,2016-12-01,PAREJA JOVEN,34,3881,7.045306192562049,2.6498325173924244,4.0479452054794525,4904.45,599679.0
61,2016-12-01,PAREJAS ADULTAS,42,3245,7.899075500770425,2.8234206471494607,4.336475001249478,6906.5,476643.0
62,2016-12-01,PAREJAS SENIOR,53,4319,6.104885390136609,2.8212549201203982,1.7017761131610751,5763.6833333333325,308361.0
65,2017-01-01,ADULTO EN PLENITUD,68,7454,3.064886861640257,2.1079957070029516,1.346611386926234,1284.7183333333332,392521.0
66,2017-01-01,ADULTOS INDEPENDIENTES,55,4999,5.938921117556821,2.3280656131226247,1.6577106730774918,4533.333333333333,399193.0
67,2017-01-01,DIVORCIADO,29,1991,8.367654445002518,3.2320441988950277,5.330856390106111,10475.76,1061006.5
68,2017-01-01,HOGARES CON HIJOS,104,6722,8.931369632053958,3.9903302588515324,2.2885331239978086,25801.14,758297.5
71,2017-01-01,JOVEN PROFESIONAL,46,3708,10.007056814095632,2.547195253505933,5.936105767548764,7904.578333333335,957662.0
72,2017-01-01,JOVEN TRABAJADOR,18,5195,7.383285210137939,1.6404234841193455,5.9735095946331525,4099.666666666667,554015.0
73,2017-01-01,PAREJA JOVEN,41,3842,7.054528891202486,2.6215512753774077,3.7484818909770725,5074.110000000001,593534.0
